EXPEDIENTE;TIPO;ACTIVIDAD;REGIÓN;PROVINCIA;TAMAÑO;SECTOR;EMPLEADOS;ACTIVO;PATRIMONIO;VENTAS;UTILIDAD
141506;ANÓNIMA;G4741.13;COSTA;GUAYAS;PEQUEÑA;SOCIETARIO;12;2446,27;2446,27;0;0
158796;RESPONSABILIDAD LIMITADA;G4651.02;SIERRA;PICHINCHA;MICROEMPRESA;SOCIETARIO;4;2444,02;490,09;0;0
101284;ANÓNIMA;G4799.02;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;2406,63;2406,63;0;0
308629;ANÓNIMA;G4530.00;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;1;2404,37;884,84;5868,64;84,84
704991;ANÓNIMA;G4791.00;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;2394,16;1251,43;0;0
173121;ANÓNIMA;G4610.09;SIERRA;PICHINCHA;MICROEMPRESA;SOCIETARIO;4;2377,62;1793,37;120;10
311353;RESPONSABILIDAD LIMITADA;G4610.09;SIERRA;PICHINCHA;MICROEMPRESA;SOCIETARIO;6;2305,88;-1077,42;0;-1877,42
69511;ANÓNIMA;G4510.01;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;7;2126;2126;0;0
134994;ANÓNIMA;G4659.99;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;2037,93;1612,4;5600;15,05
97416;ANÓNIMA;G4651.01;COSTA;EL ORO;MICROEMPRESA;SOCIETARIO;2;2026,26;800;0;0
704240;ANÓNIMA;G4649.22;SIERRA;PICHINCHA;MICROEMPRESA;SOCIETARIO;4;2000;2000;7663,61;0
163634;ANÓNIMA;G4669.11;SIERRA;PICHINCHA;MICROEMPRESA;SOCIETARIO;4;1961,28;1961,28;0;0
170753;ANÓNIMA;G4741.11;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;5;1935,49;1935,49;800;360,36
147544;ANÓNIMA;G4652.02;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;3;1921,68;-15098,33;60;22,5
172913;ANÓNIMA;G4630.32;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;1803,11;800;745,75;0
116349;ANÓNIMA;G4652.02;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;1772,49;1772,49;17790;-940,36
713966;ANÓNIMA;G4630.33;COSTA;MANABI;MICROEMPRESA;SOCIETARIO;3;1734,29;1734,29;0;-15
168552;RESPONSABILIDAD LIMITADA;G4649.24;SIERRA;PICHINCHA;MICROEMPRESA;SOCIETARIO;5;1728,85;805,6;1625;282,04
708341;ANÓNIMA;G4651.01;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;1700;1700;8400;900
